EncounterLayerID,MapID,Name,FriendlyName,Description,BattleValue,ContractTypeID,EncounterLayerGUID,TagSetID,IncludeInBuild,,,,,,,,,,,,,,,
mapGeneral_rollingHillsLakeA_vLow.eb74bf2e-8d6a-4b67-9dca-9c147e06f6e4,mapGeneral_rollingHillsLakeA_vLow,encGeneral_Battle,Battle 1,,0,3,eb74bf2e-8d6a-4b67-9dca-9c147e06f6e4,mapGeneral_rollingHillsLakeA_vLow.eb74bf2e-8d6a-4b67-9dca-9c147e06f6e4,1,,,,,,,,,,,,,,,
mapGeneral_rollingHillsLakeA_vLow.0dd4d92d-9fb6-4ed6-b8b5-37b40cfcc1fb,mapGeneral_rollingHillsLakeA_vLow,encGeneral_Battle (1),Battle 2,,0,3,0dd4d92d-9fb6-4ed6-b8b5-37b40cfcc1fb,mapGeneral_rollingHillsLakeA_vLow.0dd4d92d-9fb6-4ed6-b8b5-37b40cfcc1fb,1,,,,,,,,,,,,,,,
mapGeneral_rollingHillsLakeA_vLow.3511fb74-989c-4344-95ee-af89f72b1963,mapGeneral_rollingHillsLakeA_vLow,encGeneral_Battle (2),Battle 3,,0,3,3511fb74-989c-4344-95ee-af89f72b1963,mapGeneral_rollingHillsLakeA_vLow.3511fb74-989c-4344-95ee-af89f72b1963,1,,,,,,,,,,,,,,,
mapGeneral_rawCliffsides_vHigh.9c08ea41-af3e-44c4-b83d-7ad3f5541b39,mapGeneral_rawCliffsides_vHigh,encGeneral_Battle,Battle,,0,3,9c08ea41-af3e-44c4-b83d-7ad3f5541b39,mapGeneral_rawCliffsides_vHigh.9c08ea41-af3e-44c4-b83d-7ad3f5541b39,1,,,,,,,,,,,,,,,
mapGeneral_sandyMesa_aDes.15275f91-1f65-4cf1-bcea-cf4e73dbe5bf,mapGeneral_sandyMesa_aDes,encGeneral_Battle,Battle,,0,3,15275f91-1f65-4cf1-bcea-cf4e73dbe5bf,mapGeneral_sandyMesa_aDes.15275f91-1f65-4cf1-bcea-cf4e73dbe5bf,1,,,,,,,,,,,,,,,
mapGeneral_alpinePass_iGlc.83584f7b-4be9-4d5b-b42d-2328369cda1f,mapGeneral_alpinePass_iGlc,encGeneral_Battle,Battle 1,,0,3,83584f7b-4be9-4d5b-b42d-2328369cda1f,mapGeneral_alpinePass_iGlc.83584f7b-4be9-4d5b-b42d-2328369cda1f,1,,,,,,,,,,,,,,,
mapGeneral_alpinePass_iGlc.911bb4e7-755d-4eb1-9fc5-28cf1d8b88ea,mapGeneral_alpinePass_iGlc,encGeneral_Battle (1),Battle 2,,0,3,911bb4e7-755d-4eb1-9fc5-28cf1d8b88ea,mapGeneral_alpinePass_iGlc.911bb4e7-755d-4eb1-9fc5-28cf1d8b88ea,1,,,,,,,,,,,,,,,
mapGeneral_alpinePass_iGlc.fef9f4bc-fcfd-435a-8a80-00b04628d8c7,mapGeneral_alpinePass_iGlc,encGeneral_Battle (2),Battle 3,,0,3,fef9f4bc-fcfd-435a-8a80-00b04628d8c7,mapGeneral_alpinePass_iGlc.fef9f4bc-fcfd-435a-8a80-00b04628d8c7,1,,,,,,,,,,,,,,,
mapGeneral_theMound_vHigh.0b33066e-e32c-4624-a578-667ee966b0de,mapGeneral_theMound_vHigh,encGeneral_Battle,Battle 1,,0,3,0b33066e-e32c-4624-a578-667ee966b0de,mapGeneral_theMound_vHigh.0b33066e-e32c-4624-a578-667ee966b0de,1,,,,,,,,,,,,,,,
mapGeneral_theMound_vHigh.0ae988a1-6543-439c-9346-8d1df385267e,mapGeneral_theMound_vHigh,encGeneral_Battle (1),Battle 2,,0,3,0ae988a1-6543-439c-9346-8d1df385267e,mapGeneral_theMound_vHigh.0ae988a1-6543-439c-9346-8d1df385267e,1,,,,,,,,,,,,,,,
mapGeneral_theMound_vHigh.7eeb96a9-a6de-4d27-b333-57486e6c7770,mapGeneral_theMound_vHigh,encGeneral_Battle (2),Battle 3,,0,3,7eeb96a9-a6de-4d27-b333-57486e6c7770,mapGeneral_theMound_vHigh.7eeb96a9-a6de-4d27-b333-57486e6c7770,1,,,,,,,,,,,,,,,
mapGeneral_theMound_vHigh.be729781-6084-4c4c-8629-6f752d77ff60,mapGeneral_theMound_vHigh,encGeneral_Battle (3),Battle 4,,0,3,be729781-6084-4c4c-8629-6f752d77ff60,mapGeneral_theMound_vHigh.be729781-6084-4c4c-8629-6f752d77ff60,1,,,,,,,,,,,,,,,
mapGeneral_borealForest_iGlc.52272cbe-9c16-461d-aa8c-230d1905c484,mapGeneral_borealForest_iGlc,encGeneral_Battle,Battle 1,,0,3,52272cbe-9c16-461d-aa8c-230d1905c484,mapGeneral_borealForest_iGlc.52272cbe-9c16-461d-aa8c-230d1905c484,1,,,,,,,,,,,,,,,
mapGeneral_borealForest_iGlc.bb0c4be9-0b77-431e-b445-6e7472fd7757,mapGeneral_borealForest_iGlc,encGeneral_Battle (1),Battle 1,,0,3,bb0c4be9-0b77-431e-b445-6e7472fd7757,mapGeneral_borealForest_iGlc.bb0c4be9-0b77-431e-b445-6e7472fd7757,1,,,,,,,,,,,,,,,
mapGeneral_barterTown_aDes.d63ee8d7-3e47-4042-a6de-8e5ea63c5b20,mapGeneral_barterTown_aDes,encGeneral_Battle,Battle 1,,0,3,d63ee8d7-3e47-4042-a6de-8e5ea63c5b20,mapGeneral_barterTown_aDes.d63ee8d7-3e47-4042-a6de-8e5ea63c5b20,1,,,,,,,,,,,,,,,
mapGeneral_barterTown_aDes.9910dc91-fe29-48ee-bdb9-ed9e9e7f7e40,mapGeneral_barterTown_aDes,encGeneral_Battle (1),Battle 2,,0,3,9910dc91-fe29-48ee-bdb9-ed9e9e7f7e40,mapGeneral_barterTown_aDes.9910dc91-fe29-48ee-bdb9-ed9e9e7f7e40,1,,,,,,,,,,,,,,,
mapGeneral_desertDam_aDes.52dff4aa-8d99-45a2-b62f-f4eda5482ca1,mapGeneral_desertDam_aDes,encGeneral_Battle,Battle 1,,0,3,52dff4aa-8d99-45a2-b62f-f4eda5482ca1,mapGeneral_desertDam_aDes.52dff4aa-8d99-45a2-b62f-f4eda5482ca1,1,,,,,,,,,,,,,,,
mapGeneral_desertDam_aDes.10b48e8a-1050-458c-8217-dddb15caff65,mapGeneral_desertDam_aDes,encGeneral_Battle (1),Battle 2,,0,3,10b48e8a-1050-458c-8217-dddb15caff65,mapGeneral_desertDam_aDes.10b48e8a-1050-458c-8217-dddb15caff65,1,,,,,,,,,,,,,,,
mapGeneral_bluffs_vHigh.4475757d-56f1-4d65-9c67-876daaddb234,mapGeneral_bluffs_vHigh,encGeneral_Battle,Battle 1,,0,3,4475757d-56f1-4d65-9c67-876daaddb234,mapGeneral_bluffs_vHigh.4475757d-56f1-4d65-9c67-876daaddb234,1,,,,,,,,,,,,,,,
mapGeneral_bluffs_vHigh.682004e4-e1ff-4775-a919-4c264638bb38,mapGeneral_bluffs_vHigh,encGeneral_Battle (1),Battle 2,,0,3,682004e4-e1ff-4775-a919-4c264638bb38,mapGeneral_bluffs_vHigh.682004e4-e1ff-4775-a919-4c264638bb38,1,,,,,,,,,,,,,,,
mapGeneral_bluffs_vHigh.77460594-934f-42c1-a162-e278a1e36223,mapGeneral_bluffs_vHigh,encGeneral_Battle (2),Battle 3,,0,3,77460594-934f-42c1-a162-e278a1e36223,mapGeneral_bluffs_vHigh.77460594-934f-42c1-a162-e278a1e36223,1,,,,,,,,,,,,,,,
mapGeneral_highway_vLow.9f5b812d-0f31-495b-a817-edad8a8ca26c,mapGeneral_highway_vLow,encGeneral_Battle,Battle 1,,0,3,9f5b812d-0f31-495b-a817-edad8a8ca26c,mapGeneral_highway_vLow.9f5b812d-0f31-495b-a817-edad8a8ca26c,1,,,,,,,,,,,,,,,
mapGeneral_highway_vLow.0f62152f-3056-4b22-af6c-e1ea6f98cd47,mapGeneral_highway_vLow,encGeneral_Battle (1),Battle 2,,0,3,0f62152f-3056-4b22-af6c-e1ea6f98cd47,mapGeneral_highway_vLow.0f62152f-3056-4b22-af6c-e1ea6f98cd47,1,,,,,,,,,,,,,,,
mapGeneral_terraceLakes_vLow.ac477286-876f-4e39-b933-414343638645,mapGeneral_terraceLakes_vLow,encGeneral_Battle,Battle 1,,0,3,ac477286-876f-4e39-b933-414343638645,mapGeneral_terraceLakes_vLow.ac477286-876f-4e39-b933-414343638645,1,,,,,,,,,,,,,,,
mapGeneral_terraceLakes_vLow.85b86d35-3b88-4e4d-88f9-dad6e8013c8b,mapGeneral_terraceLakes_vLow,encGeneral_Battle (1),Battle 2,,0,3,85b86d35-3b88-4e4d-88f9-dad6e8013c8b,mapGeneral_terraceLakes_vLow.85b86d35-3b88-4e4d-88f9-dad6e8013c8b,1,,,,,,,,,,,,,,,
mapGeneral_terraceLakes_vLow.80b7274a-e1a5-4534-8a99-5bfc7d13e72e,mapGeneral_terraceLakes_vLow,encGeneral_Battle (2),Battle 3,,0,3,80b7274a-e1a5-4534-8a99-5bfc7d13e72e,mapGeneral_terraceLakes_vLow.80b7274a-e1a5-4534-8a99-5bfc7d13e72e,1,,,,,,,,,,,,,,,
mapGeneral_terraceLakes_vLow.7b24faf5-4be3-4e99-b98f-5a3bdb6245db,mapGeneral_terraceLakes_vLow,encGeneral_Battle (3),Battle 4,,0,3,7b24faf5-4be3-4e99-b98f-5a3bdb6245db,mapGeneral_terraceLakes_vLow.7b24faf5-4be3-4e99-b98f-5a3bdb6245db,1,,,,,,,,,,,,,,,
mapGeneral_icyOutpost_iGlc.3f06b85d-3249-4476-a718-82c70fae91b6,mapGeneral_icyOutpost_iGlc,encGeneral_Battle,Battle 1,,0,3,3f06b85d-3249-4476-a718-82c70fae91b6,mapGeneral_icyOutpost_iGlc.3f06b85d-3249-4476-a718-82c70fae91b6,1,,,,,,,,,,,,,,,
mapGeneral_icyOutpost_iGlc.8c7c3d51-7879-4bfb-9f95-0a5e3873703d,mapGeneral_icyOutpost_iGlc,encGeneral_Battle (1),Battle 2,,0,3,8c7c3d51-7879-4bfb-9f95-0a5e3873703d,mapGeneral_icyOutpost_iGlc.8c7c3d51-7879-4bfb-9f95-0a5e3873703d,1,,,,,,,,,,,,,,,
mapGeneral_craterField_bMars.c4d24b50-1a6a-486b-85f9-2d54137d0c5e,mapGeneral_craterField_bMars,encGeneral_Battle,Battle 1,,0,3,c4d24b50-1a6a-486b-85f9-2d54137d0c5e,mapGeneral_craterField_bMars.c4d24b50-1a6a-486b-85f9-2d54137d0c5e,1,,,,,,,,,,,,,,,
mapGeneral_MonsFoothills_bMars.2ca7d633-21b0-4ef5-90b9-597cd0b8d419,mapGeneral_MonsFoothills_bMars,encGeneral_Battle,Battle 1,,0,3,2ca7d633-21b0-4ef5-90b9-597cd0b8d419,mapGeneral_MonsFoothills_bMars.2ca7d633-21b0-4ef5-90b9-597cd0b8d419,1,,,,,,,,,,,,,,,
mapGeneral_MonsFoothills_bMars.46830800-99a4-4c9e-9b03-4eb5dd8c7b1f,mapGeneral_MonsFoothills_bMars,encGeneral_Battle (1),Battle 2,,0,3,46830800-99a4-4c9e-9b03-4eb5dd8c7b1f,mapGeneral_MonsFoothills_bMars.46830800-99a4-4c9e-9b03-4eb5dd8c7b1f,1,,,,,,,,,,,,,,,
mapGeneral_theMine_aDes.e104402c-5db8-4832-83b7-1062e150b5a7,mapGeneral_theMine_aDes,encGeneral_Battle,Battle 1,,0,3,e104402c-5db8-4832-83b7-1062e150b5a7,mapGeneral_theMine_aDes.e104402c-5db8-4832-83b7-1062e150b5a7,1,,,,,,,,,,,,,,,
mapGeneral_theMine_aDes.8dccdb63-2ac3-469b-ab1f-9bfe314f284c,mapGeneral_theMine_aDes,encGeneral_Battle (1),Battle 2,,0,3,8dccdb63-2ac3-469b-ab1f-9bfe314f284c,mapGeneral_theMine_aDes.8dccdb63-2ac3-469b-ab1f-9bfe314f284c,1,,,,,,,,,,,,,,,
mapGeneral_crimsonValley_bMars.75ab95be-3632-41a5-9b18-28c205cbcee4,mapGeneral_crimsonValley_bMars,encGeneral_Battle,Battle 1,,0,3,75ab95be-3632-41a5-9b18-28c205cbcee4,mapGeneral_crimsonValley_bMars.75ab95be-3632-41a5-9b18-28c205cbcee4,1,,,,,,,,,,,,,,,
mapGeneral_rockyMesas_aDes.ca714fbe-c9f2-4e18-a307-a7ad0f3ab833,mapGeneral_rockyMesas_aDes,encGeneral_Battle,Battle 1,,0,3,ca714fbe-c9f2-4e18-a307-a7ad0f3ab833,mapGeneral_rockyMesas_aDes.ca714fbe-c9f2-4e18-a307-a7ad0f3ab833,1,,,,,,,,,,,,,,,
mapGeneral_rockyMesas_aDes.f8f7c144-c87a-4f12-ac8b-bfc7a618db5f,mapGeneral_rockyMesas_aDes,encGeneral_Battle (1),Battle 2,,0,3,f8f7c144-c87a-4f12-ac8b-bfc7a618db5f,mapGeneral_rockyMesas_aDes.f8f7c144-c87a-4f12-ac8b-bfc7a618db5f,1,,,,,,,,,,,,,,,
mapGeneral_bigCrater_bMoon.361d8ded-7421-46a5-a305-a5688cbec9dd,mapGeneral_bigCrater_bMoon,encGeneral_Battle,Battle 1,,0,3,361d8ded-7421-46a5-a305-a5688cbec9dd,mapGeneral_bigCrater_bMoon.361d8ded-7421-46a5-a305-a5688cbec9dd,1,,,,,,,,,,,,,,,
mapGeneral_cragMire_vLow.ff0136c1-0fae-4c0c-8c4f-6ebef773d458,mapGeneral_cragMire_vLow,encGeneral_Battle,Battle 1,,0,3,ff0136c1-0fae-4c0c-8c4f-6ebef773d458,mapGeneral_cragMire_vLow.ff0136c1-0fae-4c0c-8c4f-6ebef773d458,1,,,,,,,,,,,,,,,
mapGeneral_cragMire_vLow.19c626ac-5bca-4f1b-b05a-75a4e091c17a,mapGeneral_cragMire_vLow,encGeneral_Battle (1),Battle 2,,0,3,19c626ac-5bca-4f1b-b05a-75a4e091c17a,mapGeneral_cragMire_vLow.19c626ac-5bca-4f1b-b05a-75a4e091c17a,1,,,,,,,,,,,,,,,
mapGeneral_highPeak_iGlc.89b1dbce-876d-4e32-8523-7f9a3ae63c7b,mapGeneral_highPeak_iGlc,encGeneral_Battle,Battle 1,,0,3,89b1dbce-876d-4e32-8523-7f9a3ae63c7b,mapGeneral_highPeak_iGlc.89b1dbce-876d-4e32-8523-7f9a3ae63c7b,1,,,,,,,,,,,,,,,
mapGeneral_highPeak_iGlc.43cd018c-5bd3-497a-95d4-76291e458daf,mapGeneral_highPeak_iGlc,encGeneral_Battle (1),Battle 2,,0,3,43cd018c-5bd3-497a-95d4-76291e458daf,mapGeneral_highPeak_iGlc.43cd018c-5bd3-497a-95d4-76291e458daf,1,,,,,,,,,,,,,,,
mapGeneral_highPeak_iGlc.2cd104e3-c3c3-4249-b163-46166c00032b,mapGeneral_highPeak_iGlc,encGeneral_Battle (2),Battle 3,,0,3,2cd104e3-c3c3-4249-b163-46166c00032b,mapGeneral_highPeak_iGlc.2cd104e3-c3c3-4249-b163-46166c00032b,1,,,,,,,,,,,,,,,
mapGeneral_highPlateaus_aDes.ba2411bd-dca6-46b8-8ec2-568e787dc9e1,mapGeneral_highPlateaus_aDes,encGeneral_Battle,Battle 1,,0,3,ba2411bd-dca6-46b8-8ec2-568e787dc9e1,mapGeneral_highPlateaus_aDes.ba2411bd-dca6-46b8-8ec2-568e787dc9e1,1,,,,,,,,,,,,,,,
mapGeneral_highPlateaus_aDes.34ed21cd-7631-4236-a222-7ef9881a80a2,mapGeneral_highPlateaus_aDes,encGeneral_Battle (1),Battle 2,,0,3,34ed21cd-7631-4236-a222-7ef9881a80a2,mapGeneral_highPlateaus_aDes.34ed21cd-7631-4236-a222-7ef9881a80a2,1,,,,,,,,,,,,,,,
mapGeneral_highPlateaus_aDes.53264296-2cf9-4109-8396-85a317ebe3fd,mapGeneral_highPlateaus_aDes,encGeneral_Battle (2),Battle 3,,0,3,53264296-2cf9-4109-8396-85a317ebe3fd,mapGeneral_highPlateaus_aDes.53264296-2cf9-4109-8396-85a317ebe3fd,1,,,,,,,,,,,,,,,
mapGeneral_highPlateaus_aDes.2a55864e-c219-4456-8f34-40bad91ac3e0,mapGeneral_highPlateaus_aDes,encGeneral_Battle (3),Battle 4,,0,3,2a55864e-c219-4456-8f34-40bad91ac3e0,mapGeneral_highPlateaus_aDes.2a55864e-c219-4456-8f34-40bad91ac3e0,1,,,,,,,,,,,,,,,
mapGeneral_highPlateaus_aDes.51fa3a32-be70-4209-a79f-72990e30589d,mapGeneral_highPlateaus_aDes,encGeneral_Battle (4),Battle 5,,0,3,51fa3a32-be70-4209-a79f-72990e30589d,mapGeneral_highPlateaus_aDes.51fa3a32-be70-4209-a79f-72990e30589d,1,,,,,,,,,,,,,,,
mapGeneral_splitRange_iGlc.239ffca4-803b-4258-8f96-f8bf14b69de6,mapGeneral_splitRange_iGlc,encGeneral_Battle,Battle 1,,0,3,239ffca4-803b-4258-8f96-f8bf14b69de6,mapGeneral_splitRange_iGlc.239ffca4-803b-4258-8f96-f8bf14b69de6,1,,,,,,,,,,,,,,,
mapGeneral_escarpmentValley_vLow.66a955eb-8522-4a41-a64d-16f9bca54395,mapGeneral_escarpmentValley_vLow,encGeneral_Battle,Battle 1,,0,3,66a955eb-8522-4a41-a64d-16f9bca54395,mapGeneral_escarpmentValley_vLow.66a955eb-8522-4a41-a64d-16f9bca54395,1,,,,,,,,,,,,,,,
mapGeneral_escarpmentValley_vLow.46b45ff5-3689-491b-b4f2-60623bd230c7,mapGeneral_escarpmentValley_vLow,encGeneral_Battle (1),Battle 2,,0,3,46b45ff5-3689-491b-b4f2-60623bd230c7,mapGeneral_escarpmentValley_vLow.46b45ff5-3689-491b-b4f2-60623bd230c7,1,,,,,,,,,,,,,,,
mapGeneral_escarpmentValley_vLow.cebd51ca-0fb7-4e94-8f87-e8a32f73ed7f,mapGeneral_escarpmentValley_vLow,encGeneral_Battle (2),Battle 3,,0,3,cebd51ca-0fb7-4e94-8f87-e8a32f73ed7f,mapGeneral_escarpmentValley_vLow.cebd51ca-0fb7-4e94-8f87-e8a32f73ed7f,1,,,,,,,,,,,,,,,
mapGeneral_mountainHold_bMoon.8e014e73-f7c6-4c6b-ae0e-bf27ad068d6a,mapGeneral_mountainHold_bMoon,encGeneral_Battle,Simple Battle,,0,3,8e014e73-f7c6-4c6b-ae0e-bf27ad068d6a,mapGeneral_mountainHold_bMoon.8e014e73-f7c6-4c6b-ae0e-bf27ad068d6a,1,,,,,,,,,,,,,,,
mapGeneral_riverBend_vLow.ea850357-a6b3-49dc-ac16-d338ceb25500,mapGeneral_riverBend_vLow,encGeneral_Battle,Battle 1,,0,3,ea850357-a6b3-49dc-ac16-d338ceb25500,mapGeneral_riverBend_vLow.ea850357-a6b3-49dc-ac16-d338ceb25500,1,,,,,,,,,,,,,,,
mapGeneral_sunkenHills_iTnd.4f72e23d-4e87-4c71-a789-da0054a48cd9,mapGeneral_sunkenHills_iTnd,encGeneral_Battle,Battle 1,,0,3,4f72e23d-4e87-4c71-a789-da0054a48cd9,mapGeneral_sunkenHills_iTnd.4f72e23d-4e87-4c71-a789-da0054a48cd9,1,,,,,,,,,,,,,,,
mapGeneral_hiddenLagoon_vHigh.b5c2097f-6409-4b83-ae8b-31fd90c64830,mapGeneral_hiddenLagoon_vHigh,encGeneral_Battle,Battle 1,,0,3,b5c2097f-6409-4b83-ae8b-31fd90c64830,mapGeneral_hiddenLagoon_vHigh.b5c2097f-6409-4b83-ae8b-31fd90c64830,1,,,,,,,,,,,,,,,
mapGeneral_paupersCanyon_aWst.32a1aef1-45da-41c7-813b-c3ab2397b603,mapGeneral_paupersCanyon_aWst,encGeneral_Battle,Battle 1,,0,3,32a1aef1-45da-41c7-813b-c3ab2397b603,mapGeneral_paupersCanyon_aWst.32a1aef1-45da-41c7-813b-c3ab2397b603,1,,,,,,,,,,,,,,,
mapGeneral_frostySlopes_iTnd.1ba0dabd-64cb-4871-8969-e78ab2d79049,mapGeneral_frostySlopes_iTnd,encGeneral_Battle,Battle 1,,0,3,1ba0dabd-64cb-4871-8969-e78ab2d79049,mapGeneral_frostySlopes_iTnd.1ba0dabd-64cb-4871-8969-e78ab2d79049,1,,,,,,,,,,,,,,,
mapGeneral_frigidSteppes_iTnd.e8c0857f-813f-4149-ac0d-067693e3cb41,mapGeneral_frigidSteppes_iTnd,encGeneral_Battle,Battle 1,,0,3,e8c0857f-813f-4149-ac0d-067693e3cb41,mapGeneral_frigidSteppes_iTnd.e8c0857f-813f-4149-ac0d-067693e3cb41,1,,,,,,,,,,,,,,,
mapGeneral_bleakRidge_aBad.05ffbc32-6c06-4130-822e-4c256dcc6ca2,mapGeneral_bleakRidge_aBad,encGeneral_Battle,Battle 1,,0,3,05ffbc32-6c06-4130-822e-4c256dcc6ca2,mapGeneral_bleakRidge_aBad.05ffbc32-6c06-4130-822e-4c256dcc6ca2,1,,,,,,,,,,,,,,,
mapGeneral_taigaRiver_iTnd.5fc1f4db-0244-4ea1-bf3e-fdffe8ba7ccb,mapGeneral_taigaRiver_iTnd,encGeneral_Battle,Battle,,0,3,5fc1f4db-0244-4ea1-bf3e-fdffe8ba7ccb,mapGeneral_taigaRiver_iTnd.5fc1f4db-0244-4ea1-bf3e-fdffe8ba7ccb,1,,,,,,,,,,,,,,,
mapGeneral_CentralMound_iTnd.baf7fadf-8cba-40e2-88e1-81c3bf142756,mapGeneral_CentralMound_iTnd,encGeneral_Battle,Battle 1,,0,3,baf7fadf-8cba-40e2-88e1-81c3bf142756,mapGeneral_CentralMound_iTnd.baf7fadf-8cba-40e2-88e1-81c3bf142756,1,,,,,,,,,,,,,,,
mapGeneral_grandeRiver_aWst.74a98010-a424-4027-a1e2-caa189f9353b,mapGeneral_grandeRiver_aWst,encGeneral_Battle,Battle,,0,3,74a98010-a424-4027-a1e2-caa189f9353b,mapGeneral_grandeRiver_aWst.74a98010-a424-4027-a1e2-caa189f9353b,1,,,,,,,,,,,,,,,
mapGeneral_alpineCathedral_iTnd.4296ab06-af3d-4ed0-9472-4f5e049a123f,mapGeneral_alpineCathedral_iTnd,encGeneral_Battle,Battle,,0,3,4296ab06-af3d-4ed0-9472-4f5e049a123f,mapGeneral_alpineCathedral_iTnd.4296ab06-af3d-4ed0-9472-4f5e049a123f,1,,,,,,,,,,,,,,,
mapGeneral_lostCanyon_aBad.a1aca787-fdb5-47b6-a22d-3894c56ca771,mapGeneral_lostCanyon_aBad,encGeneral_Battle,Battle 1,,0,3,a1aca787-fdb5-47b6-a22d-3894c56ca771,mapGeneral_lostCanyon_aBad.a1aca787-fdb5-47b6-a22d-3894c56ca771,1,,,,,,,,,,,,,,,
mapGeneral_toxicMire_aBad.2ba6fdaa-38b7-4920-92be-7528faf2533c,mapGeneral_toxicMire_aBad,encGeneral_Battle,Battle 1,,0,3,2ba6fdaa-38b7-4920-92be-7528faf2533c,mapGeneral_toxicMire_aBad.2ba6fdaa-38b7-4920-92be-7528faf2533c,1,,,,,,,,,,,,,,,
